date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2019-02-16,ECL,2019-03-15,180.00,Put,14.60,19.00,0.1940,-0.9823,0.0121,-0.0044,0.0232,-0.0143
2019-02-09,AAL,2019-03-29,32.50,Put,0.50,0.98,0.4128,-0.2197,0.0547,-0.0159,0.0397,-0.0105
2019-02-09,AAL,2019-03-29,33.50,Call,3.35,3.55,0.3665,0.7355,0.0677,-0.0178,0.0431,0.0309
2019-02-16,ECL,2019-03-15,190.00,Call,0.00,0.65,0.1599,0.0004,0.0002,-0.0002,0.0007,0.0001
2019-02-16,ECL,2019-03-15,190.00,Put,24.50,29.00,0.1940,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAL,2019-03-29,33.50,Put,0.71,1.01,0.3718,-0.2679,0.0677,-0.0159,0.0430,-0.0126
2019-02-09,AAL,2019-03-29,34.50,Call,2.70,2.91,0.3670,0.6591,0.0758,-0.0196,0.0484,0.0281
2019-02-16,ECL,2019-04-18,140.00,Call,22.40,25.80,0.2499,0.9481,0.0068,-0.0249,0.0760,0.1654
2019-02-09,AAL,2019-03-29,34.50,Put,1.10,1.36,0.3753,-0.3447,0.0752,-0.0178,0.0481,-0.0159
2019-02-16,ECL,2019-04-18,140.00,Put,0.35,0.50,0.2508,-0.0571,0.0069,-0.0151,0.0804,-0.0151
2019-02-09,AAL,2019-03-29,35.50,Call,2.07,2.32,0.3583,0.5788,0.0828,-0.0202,0.0516,0.0250
2019-02-16,ECL,2019-04-18,145.00,Call,18.00,20.20,0.2028,0.9392,0.0095,-0.0239,0.0861,0.1784
2019-02-09,AAL,2019-03-29,35.50,Put,1.52,1.59,0.3537,-0.4233,0.0850,-0.0177,0.0514,-0.0191
2019-02-16,ECL,2019-04-18,145.00,Put,0.55,0.70,0.2258,-0.0867,0.0106,-0.0185,0.1079,-0.0227
2019-02-09,AAL,2019-03-29,36.00,Call,1.80,2.10,0.3596,0.5368,0.0838,-0.0205,0.0524,0.0233
2019-02-16,ECL,2019-04-18,150.00,Call,14.00,15.00,0.1912,0.8807,0.0163,-0.0309,0.1359,0.1939
2019-02-09,AAL,2019-03-29,36.00,Put,1.71,1.96,0.3600,-0.4660,0.0850,-0.0182,0.0523,-0.0208
2019-02-16,ECL,2019-04-18,150.00,Put,0.90,1.05,0.2032,-0.1370,0.0164,-0.0229,0.1535,-0.0351
2019-02-09,AAL,2019-03-29,36.50,Call,1.51,1.85,0.3522,0.4939,0.0859,-0.0201,0.0526,0.0216
2019-02-16,ECL,2019-04-18,155.00,Call,9.50,10.70,0.1723,0.7944,0.0253,-0.0360,0.1944,0.1910
2019-02-09,AAL,2019-03-29,36.50,Put,1.95,2.26,0.3601,-0.5082,0.0853,-0.0182,0.0523,-0.0224
2019-02-16,ECL,2019-04-18,155.00,Put,1.50,1.80,0.1846,-0.2245,0.0246,-0.0278,0.2022,-0.0560
2019-02-09,AAL,2019-03-29,37.50,Call,1.12,1.40,0.3483,0.4095,0.0846,-0.0192,0.0512,0.0181
2019-02-16,ECL,2019-04-18,160.00,Call,6.10,6.70,0.1629,0.6486,0.0345,-0.0405,0.2497,0.1652
2019-02-09,AAL,2019-03-29,37.50,Put,2.54,2.76,0.3494,-0.5947,0.0859,-0.0169,0.0506,-0.0252
2019-02-16,ECL,2019-04-18,160.00,Put,2.85,3.20,0.1755,-0.3653,0.0328,-0.0323,0.2510,-0.0872
2019-02-09,AAL,2019-03-29,38.50,Call,0.79,1.05,0.3445,0.3295,0.0797,-0.0176,0.0477,0.0147
2019-02-16,ECL,2019-04-18,165.00,Call,3.30,3.90,0.1573,0.4650,0.0381,-0.0395,0.2666,0.1218
2019-02-09,AAL,2019-03-29,38.50,Put,3.20,3.40,0.3432,-0.6774,0.0817,-0.0151,0.0469,-0.0272
2019-02-16,ECL,2019-04-18,165.00,Put,4.90,5.50,0.1676,-0.5407,0.0367,-0.0309,0.2646,-0.1199
2019-02-09,AAL,2019-03-29,39.50,Call,0.51,0.70,0.3294,0.2483,0.0729,-0.0146,0.0417,0.0112
2019-02-16,ECL,2019-04-18,170.00,Call,1.50,1.80,0.1485,0.2777,0.0340,-0.0305,0.2292,0.0741
2019-02-09,AAL,2019-03-29,39.50,Put,3.85,4.15,0.3305,-0.7591,0.0749,-0.0123,0.0415,-0.0281
2019-02-16,ECL,2019-04-18,170.00,Put,7.90,8.70,0.1608,-0.7202,0.0332,-0.0222,0.2219,-0.1430
2019-02-09,AAL,2019-03-29,41.50,Call,0.21,0.41,0.3366,0.1438,0.0511,-0.0106,0.0299,0.0065
2019-02-16,ECL,2019-04-18,175.00,Call,0.55,0.75,0.1447,0.1366,0.0227,-0.0189,0.1458,0.0361
2019-02-09,AAL,2019-03-29,41.50,Put,5.55,5.95,0.3506,-0.8564,0.0537,-0.0091,0.0312,-0.0270
2019-02-16,ECL,2019-04-18,175.00,Put,11.90,12.90,0.1652,-0.8471,0.0233,-0.0123,0.1592,-0.1514
2019-02-16,ECL,2019-04-18,180.00,Call,0.05,0.25,0.1447,0.0579,0.0120,-0.0098,0.0772,0.0154
2019-02-09,AAP,2019-02-15,140.00,Call,22.10,23.30,0.4488,0.9924,0.0021,-0.0247,0.0047,0.0266
2019-02-16,ECL,2019-04-18,180.00,Put,16.10,18.50,0.1652,-0.9313,0.0135,-0.0013,0.0927,-0.1502
2019-02-09,AAP,2019-02-15,140.00,Put,0.05,0.15,0.4488,-0.0076,0.0021,-0.0150,0.0047,-0.0002
2019-02-16,ECL,2019-04-18,190.00,Call,0.00,0.95,0.1447,0.0064,0.0019,-0.0015,0.0121,0.0017
2019-02-16,ECL,2019-04-18,190.00,Put,24.50,29.20,0.1652,-0.9924,0.0023,0.0000,0.0167,-0.1067
2019-02-09,AAP,2019-02-15,145.00,Call,17.10,17.80,0.4488,0.9689,0.0070,-0.0604,0.0158,0.0268
2019-02-16,ED,2019-03-01,65.00,Call,13.30,14.20,0.1989,1.0000,0.0000,-0.0045,0.0000,0.0249
2019-02-09,AAP,2019-02-15,145.00,Put,0.10,0.15,0.4488,-0.0311,0.0070,-0.0503,0.0158,-0.0010
2019-02-16,ED,2019-03-01,65.00,Put,0.00,0.05,0.1989,0.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAP,2019-02-15,150.00,Call,12.20,13.00,0.3309,0.9616,0.0112,-0.0544,0.0188,0.0275
2019-02-16,ED,2019-03-01,70.50,Call,7.70,9.90,0.1989,0.9975,0.0025,-0.0057,0.0012,0.0269
2019-02-09,AAP,2019-02-15,150.00,Put,0.15,0.25,0.3688,-0.0556,0.0135,-0.0659,0.0252,-0.0018
2019-02-16,ED,2019-03-01,70.50,Put,0.00,0.10,0.1989,-0.0025,0.0025,-0.0008,0.0012,-0.0001
2019-02-09,AAP,2019-02-15,155.00,Call,7.80,8.20,0.3197,0.8618,0.0307,-0.1226,0.0496,0.0253
2019-02-16,ED,2019-03-01,73.00,Call,5.40,6.40,0.1989,0.9721,0.0209,-0.0119,0.0098,0.0271
2019-02-09,AAP,2019-02-15,155.00,Put,0.50,0.65,0.3316,-0.1464,0.0309,-0.1211,0.0522,-0.0044
